"Symbol ","Date "," Settlement Date ","Series ","Open Price ","High Price ","Low Price ","PREV. CLOSE ","Close Price ","52 weeks High ","52 weeks Low ","Total Traded Quantity ","Total Traded Value in Rs.","Number of Trades "
"TCS","18-JUN-2026","07-JUL-2026","L1","2.00","2.25","2.00","2.00","2.20","2.59","0.50","24,213","53,159.65","107"
"TCS","17-JUN-2026","04-AUG-2026","X8","1.50","1.50","1.50","1.00","1.50","6.80","0.11","1,394","2,091.00","2"
"TCS","17-JUN-2026","07-JUL-2026","L1","2.00","2.00","2.00","2.00","2.00","2.59","0.50","2,087","4,174.00","4"
"TCS","17-JUN-2026","07-JUL-2026","X7","0.02","0.02","0.02","0.56","0.02","44.57","0.02","9","0.18","1"
"TCS","16-JUN-2026","07-JUL-2026","L1","1.00","2.00","1.00","1.20","2.00","2.59","0.50","825","1,268.00","3"
"TCS","16-JUN-2026","04-AUG-2026","X8","0.50","1.00","0.50","3.00","1.00","6.80","0.11","1,506","1,505.50","7"
"TCS","13-JUN-2026","05-JAN-2027","X1","0.30","0.30","0.30","0.30","0.30","0.60","0.01","100","30.00","1"
"TCS","12-JUN-2026","07-JUL-2026","L1","1.20","1.20","1.20","2.00","1.20","2.59","0.50","750","900.00","1"
"TCS","11-JUN-2026","04-AUG-2026","X8","3.00","3.00","3.00","3.00","3.00","6.80","0.11","1,945","5,835.00","4"
"TCS","11-JUN-2026","07-JUL-2026","X7","0.56","0.56","0.56","2.50","0.56","44.57","0.11","2","1.12","1"
"TCS","11-JUN-2026","07-JUL-2026","L1","2.00","2.00","2.00","2.47","2.00","2.59","0.50","350","700.00","5"
"TCS","10-JUN-2026","04-AUG-2026","X8","2.00","3.00","2.00","0.30","3.00","6.80","0.11","31","73.00","2"
"TCS","10-JUN-2026","07-JUL-2026","X7","1.00","2.50","0.72","2.25","2.50","44.57","0.11","9,269","9,331.00","12"
"TCS","10-JUN-2026","07-JUL-2026","L1","1.75","2.50","1.25","1.75","2.47","2.59","0.50","4,397","8,593.08","20"
"TCS","09-JUN-2026","07-JUL-2026","L1","1.75","1.75","1.75","2.24","1.75","2.59","0.50","731","1,279.25","2"
"TCS","09-JUN-2026","04-AUG-2026","X8","0.30","0.30","0.30","0.11","0.30","6.80","0.11","85","25.50","1"
"TCS","08-JUN-2026","04-AUG-2026","X8","0.11","0.11","0.11","3.00","0.11","6.80","0.11","1","0.11","1"
"TCS","08-JUN-2026","07-JUL-2026","L1","1.16","2.25","1.16","2.25","2.24","2.59","0.50","30,247","67,558.57","52"
"TCS","05-JUN-2026","07-JUL-2026","L1","1.81","2.40","1.80","2.45","2.25","2.59","0.50","1,18,239","2,55,697.39","85"
"TCS","05-JUN-2026","04-AUG-2026","X8","4.00","4.00","2.60","4.00","3.00","6.80","0.98","11,414","40,321.30","28"
"TCS","05-JUN-2026","07-JUL-2026","X7","3.99","3.99","1.80","2.25","2.25","44.57","0.11","1,93,975","5,45,503.62","652"
"TCS","04-JUN-2026","07-JUL-2026","X7","3.00","4.00","2.01","2.98","2.25","44.57","0.11","4,43,283","12,04,893.76","1,454"
"TCS","04-JUN-2026","04-AUG-2026","X8","3.00","4.90","3.00","2.97","4.00","6.80","0.98","18,752","72,164.50","28"
"TCS","04-JUN-2026","07-JUL-2026","L1","2.10","2.59","1.98","1.91","2.45","2.59","0.50","39,912","86,720.86","60"
"TCS","03-JUN-2026","04-AUG-2026","X8","2.10","6.80","2.10","0.99","2.97","6.80","0.98","10,981","38,892.09","49"
"TCS","03-JUN-2026","07-JUL-2026","L1","1.80","2.00","1.80","3,441.80","1.91","2.00","0.50","8,741","16,770.22","19"
"TCS","03-JUN-2026","07-JUL-2026","X7","2.99","3.75","0.16","3.00","2.98","44.57","0.11","2,85,622","9,02,779.39","1,179"
"TCS","02-JUN-2026","04-AUG-2026","X8","0.99","0.99","0.99","0.99","0.99","1.00","0.98","1","0.99","1"
"TCS","27-MAY-2026","07-JUL-2026","X7","2.00","3.00","0.11","1.25","3.00","44.57","0.11","2,685","7,718.09","12"
"TCS","26-MAY-2026","07-JUL-2026","X7","9.00","15.00","1.25","3.08","1.25","44.57","0.50","1,91,364","12,59,753.32","344"
"TCS","26-MAY-2026","02-JUN-2026","X6","5.93","9.93","5.93","0.80","9.93","10.00","0.01","2,250","19,195.53","9"
"TCS","26-MAY-2026","02-JUN-2026","U1","5.15","6.01","2.99","3.49","4.00","6.01","0.50","33,654","1,82,551.51","50"
"TCS","21-MAY-2026","02-JUN-2026","U1","2.99","3.50","2.50","2.25","3.49","3.72","0.50","1,26,136","3,84,827.51","170"
"TCS","21-MAY-2026","07-JUL-2026","X7","2.00","3.30","1.30","1.00","3.08","44.57","0.50","4,26,290","12,63,656.16","294"
"TCS","20-MAY-2026","02-JUN-2026","U1","2.48","2.50","2.25","2.80","2.25","3.72","0.50","45,525","1,06,680.79","46"
"TCS","20-MAY-2026","02-JUN-2026","X6","1.00","1.00","0.80","0.50","0.80","10.00","0.01","62,300","58,240.00","7"
"TCS","20-MAY-2026","07-JUL-2026","X7","1.99","2.00","1.00","3.00","1.00","44.57","0.50","1,625","1,949.79","11"
"TCS","18-MAY-2026","02-JUN-2026","X6","0.11","0.50","0.11","0.50","0.50","10.00","0.01","97","47.72","4"
"TCS","18-MAY-2026","02-JUN-2026","U1","2.50","2.80","2.50","2.50","2.80","3.72","0.50","2,975","7,810.00","8"
"TCS","15-MAY-2026","02-JUN-2026","U1","2.50","3.00","2.05","3.15","2.50","3.72","0.50","30,700","77,610.50","19"
"TCS","15-MAY-2026","07-JUL-2026","X7","1.21","4.88","1.21","2.05","3.00","44.57","0.50","14,370","52,846.36","74"
"TCS","14-MAY-2026","07-JUL-2026","X7","3.00","3.05","2.01","3.26","2.05","44.57","0.50","1,43,731","3,68,965.45","58"
"TCS","14-MAY-2026","02-JUN-2026","X6","1.50","10.00","0.50","0.90","0.50","10.00","0.01","19,456","17,807.54","31"
"TCS","14-MAY-2026","02-JUN-2026","U1","2.50","3.15","2.50","3.00","3.15","3.72","0.50","65,229","1,85,141.50","35"
"TCS","13-MAY-2026","07-JUL-2026","X7","1.30","3.51","1.30","1.20","3.26","44.57","0.50","4,02,718","12,07,609.76","494"
